"Rank","Game","PercentFemWords"
1,"King's Quest IV: The Perils of Rosella","80 %"
2,"King's Quest II: Romancing the Throne","79.8 %"
3,"Lightning Returns: Final Fantasy XIII","54.6 %"
4,"King's Quest VII: The Princeless Bride","49.2 %"
5,"Final Fantasy X-2","48.4 %"
6,"Persona 4","47.6 %"
7,"Stardew Valley","45.2 %"
8,"Horizon Zero Dawn","44.4 %"
9,"Mass Effect 2","43.5 %"
10,"Persona 3","43 %"
11,"Final Fantasy XIII","42.1 %"
12,"Mass Effect","41.8 %"
13,"Final Fantasy XIII-2","41.2 %"
14,"The Elder Scrolls IV: Oblivion","40.8 %"
15,"Mass Effect 3","40.3 %"
16,"Dragon Age 2","40.1 %"
17,"Persona 5","39.6 %"
18,"Chrono Trigger","38 %"
19,"Final Fantasy VII Remake","37.2 %"
20,"King's Quest Chapters","34.9 %"
21,"Final Fantasy XIV","33.4 %"
22,"The Elder Scrolls III: Morrowind","33.2 %"
23,"Final Fantasy X","32.2 %"
24,"Final Fantasy VIII","32.2 %"
25,"Dragon Age: Origins","32.2 %"
26,"The Elder Scrolls V: Skyrim","30.5 %"
27,"Final Fantasy II","29.8 %"
28,"King's Quest V","29.3 %"
29,"Star Wars: Knights of the Old Republic","28.6 %"
30,"Final Fantasy XII","27.2 %"
31,"Final Fantasy V","27 %"
32,"Final Fantasy IX","26.2 %"
33,"Final Fantasy VII","25.9 %"
34,"King's Quest III: To Heir Is Human","23.9 %"
35,"Final Fantasy","22.9 %"
36,"Kingdom Hearts","22.1 %"
37,"The Elder Scrolls II: Daggerfall","21.2 %"
38,"Final Fantasy XV","19.5 %"
39,"Final Fantasy VI","18.2 %"
40,"Monkey Island 2: LeChuck's Revenge","16.8 %"
41,"Super Mario RPG: Legend of the Seven Stars","16.6 %"
42,"Kingdom Hearts II","15.5 %"
43,"King's Quest VIII","14.2 %"
44,"Kingdom Hearts III","14 %"
45,"King's Quest I: Quest for the Crown","11.2 %"
46,"Final Fantasy IV","10.6 %"
47,"The Secret of Monkey Island","7.9 %"
48,"The Curse of Monkey Island","6.7 %"
49,"Kingdom Hearts 3D: Dream Drop Distance","6.7 %"
50,"King's Quest VI","6.4 %"
